Vref ,Vop_avg,Vop_ripple,Vcm_avg,Vcm_ripple,Von_avg,Von_ripple,Pin,Pout,Efficiency
885.0E-3,885.1E-3,1.314E-3,600.0E-3,620.2E-6,314.0E-3,1.267E-3,-10.96E-3,10.19E-3,92.98
900.0E-3,892.6E-3,78.42E-6,599.9E-3,256.4E-6,307.7E-3,143.6E-6,-11.77E-3,10.69E-3,90.89
