Cout ,Vout_avg
100.0E-9,578.1E-3
199.5E-9,577.7E-3
397.9E-9,577.5E-3
793.7E-9,577.4E-3
1.583E-6,577.3E-3
3.158E-6,577.3E-3
6.300E-6,577.3E-3
12.57E-6,577.2E-3
25.07E-6,576.1E-3
50.00E-6,552.0E-3
