Cout ,Efficiency
100.0E-9,99.00
208.7E-9,100.8
435.4E-9,100.6
908.6E-9,100.4
1.896E-6,100.2
3.956E-6,100.2
8.255E-6,100.2
17.22E-6,100.1
35.94E-6,98.40
75.00E-6,46.06
