rout ,Vout_avg
1.000,447.5E-3
2.154,518.3E-3
4.642,559.4E-3
10.00,580.6E-3
21.54,590.9E-3
46.42,595.9E-3
100.0,598.1E-3
215.4,599.1E-3
464.2,599.6E-3
1.000E3,599.8E-3
