Cf ,Efficiency
10.00E-9,87.41
31.11E-9,98.34
52.22E-9,100.5
73.33E-9,100.5
94.44E-9,98.88
115.6E-9,98.18
136.7E-9,96.85
157.8E-9,95.66
178.9E-9,94.66
200.0E-9,93.31
