Cf ,Vout_avg
10.00E-9,520.0E-3
31.11E-9,571.6E-3
52.22E-9,582.6E-3
73.33E-9,587.0E-3
94.44E-9,589.1E-3
115.6E-9,590.3E-3
136.7E-9,590.9E-3
157.8E-9,591.3E-3
178.9E-9,591.5E-3
200.0E-9,591.6E-3
